variable_grupo,grupo,n,prevalencia_real,tasa_seleccion_predicha,accuracy,precision,recall_tpr,f1,fpr,fnr,prob_media
country,India,3203,0.41024039962535125,0.5210739931314393,0.7773961910708711,0.6800479328939485,0.8637747336377474,0.7609788803218237,0.2826892535733192,0.13622526636225266,0.529672675301995
country,IN,732,0.2568306010928962,0.31010928961748635,0.7172131147540983,0.4581497797356828,0.5531914893617021,0.5012048192771085,0.2261029411764706,0.44680851063829785,0.37353697317109624
country,RU,704,0.375,0.08806818181818182,0.5767045454545454,0.22580645161290322,0.05303030303030303,0.08588957055214724,0.10909090909090909,0.946969696969697,0.41948319822579844
country,BR,577,0.4246100519930676,0.4696707105719237,0.5805892547660312,0.5055350553505535,0.5591836734693878,0.5310077519379846,0.4036144578313253,0.44081632653061226,0.4834731783255577
country,TH,495,0.15757575757575756,0.12121212121212122,0.7818181818181819,0.25,0.19230769230769232,0.21739130434782608,0.1079136690647482,0.8076923076923077,0.378452928832664
country,JP,489,0.2167689161554192,0.2229038854805726,0.7280163599182005,0.3761467889908257,0.3867924528301887,0.3813953488372093,0.17754569190600522,0.6132075471698113,0.4673651967824
country,FR,422,0.4928909952606635,0.5971563981042654,0.5450236966824644,0.5317460317460317,0.6442307692307693,0.5826086956521739,0.5514018691588785,0.3557692307692308,0.5372305494242672
country,ID,383,0.34464751958224543,0.4281984334203655,0.660574412532637,0.5060975609756098,0.6287878787878788,0.5608108108108109,0.32270916334661354,0.3712121212121212,0.47571924297153695
country,KR,371,0.16442048517520216,0.30727762803234504,0.6684636118598383,0.22807017543859648,0.4262295081967213,0.29714285714285715,0.2838709677419355,0.5737704918032787,0.46775649632345734
country,ES,338,0.41124260355029585,0.46745562130177515,0.5828402366863905,0.4936708860759494,0.5611510791366906,0.5252525252525253,0.4020100502512563,0.43884892086330934,0.4721001065192623
country,US,293,0.3890784982935154,0.3993174061433447,0.689419795221843,0.5982905982905983,0.6140350877192983,0.6060606060606061,0.26256983240223464,0.38596491228070173,0.4215130001974705
country,TW,281,0.05693950177935943,0.12455516014234876,0.8469750889679716,0.11428571428571428,0.25,0.1568627450980392,0.1169811320754717,0.75,0.39730939464156434
country,IT,270,0.3888888888888889,0.362962962962963,0.6111111111111112,0.5,0.4666666666666667,0.4827586206896552,0.296969696969697,0.5333333333333333,0.4444403704987312
country,AT,232,0.375,0.22413793103448276,0.6336206896551724,0.5192307692307693,0.3103448275862069,0.38848920863309355,0.1724137931034483,0.6896551724137931,0.4082211357276329
country,DE,208,0.3942307692307692,0.20192307692307693,0.6538461538461539,0.6190476190476191,0.3170731707317073,0.41935483870967744,0.12698412698412698,0.6829268292682927,0.4014886680177413
country,AU,193,0.25906735751295334,0.41450777202072536,0.6476683937823834,0.3875,0.62,0.47692307692307695,0.34265734265734266,0.38,0.4419404583176398
country,PL,173,0.19653179190751446,0.18497109826589594,0.6763005780346821,0.15625,0.14705882352941177,0.15151515151515152,0.19424460431654678,0.8529411764705882,0.42580328090258146
country,TR,173,0.10404624277456648,0.21965317919075145,0.7687861271676301,0.21052631578947367,0.4444444444444444,0.2857142857142857,0.1935483870967742,0.5555555555555556,0.416042063939254
country,GB,165,0.20606060606060606,0.38181818181818183,0.6909090909090909,0.36507936507936506,0.6764705882352942,0.4742268041237113,0.3053435114503817,0.3235294117647059,0.3974472040143502
country,HK,140,0.05,0.20714285714285716,0.7857142857142857,0.10344827586206896,0.42857142857142855,0.16666666666666666,0.19548872180451127,0.5714285714285714,0.43001433489192714
country,CA,135,0.4,0.4148148148148148,0.6,0.5,0.5185185185185185,0.509090909090909,0.345679012345679,0.48148148148148145,0.4335276175039928
country,PK,132,0.09848484848484848,0.1590909090909091,0.7575757575757576,0.047619047619047616,0.07692307692307693,0.058823529411764705,0.16806722689075632,0.9230769230769231,0.3529874402346836
country,SN,131,0.061068702290076333,0.22137404580152673,0.7938931297709924,0.1724137931034483,0.625,0.2702702702702703,0.1951219512195122,0.375,0.3744063414947821
category_id,unknown,10503,0.2664000761687137,0.30162810625535563,0.6600971151099686,0.37815656565656564,0.4281629735525375,0.4016091183372444,0.2556781310837119,0.5718370264474625,0.4371339157025116
category_id,24.0,1489,0.31296171927468097,0.40362659503022164,0.7777031564808596,0.6123128119800333,0.7896995708154506,0.689784442361762,0.22776148582600195,0.21030042918454936,0.4335997225038193
category_id,25.0,478,0.17364016736401675,0.20292887029288703,0.7740585774058577,0.3711340206185567,0.43373493975903615,0.4,0.15443037974683543,0.5662650602409639,0.32614050347362983
category_id,10.0,257,0.6848249027237354,0.9299610894941635,0.7470817120622568,0.7322175732217573,0.9943181818181818,0.8433734939759037,0.7901234567901234,0.005681818181818182,0.8058232089698273
category_id,23.0,235,0.774468085106383,0.9829787234042553,0.7829787234042553,0.7835497835497836,0.9945054945054945,0.8765133171912833,0.9433962264150944,0.005494505494505495,0.8534810574864957
category_id,22.0,228,0.3333333333333333,0.42543859649122806,0.7236842105263158,0.5670103092783505,0.7236842105263158,0.6358381502890174,0.27631578947368424,0.27631578947368424,0.4636468256179522
category_id,27.0,159,0.6666666666666666,0.7987421383647799,0.8301886792452831,0.8110236220472441,0.9716981132075472,0.8841201716738197,0.4528301886792453,0.02830188679245283,0.7562117880545235
category_id,1.0,108,0.6851851851851852,0.9351851851851852,0.7314814814814815,0.7227722772277227,0.9864864864864865,0.8342857142857143,0.8235294117647058,0.013513513513513514,0.7774746258694738
duration_bucket,desconocida,13706,0.3000145921494236,0.3529111338100102,0.6875091200933897,0.48232375439321895,0.567363813229572,0.5213990389987708,0.2609964561184073,0.43263618677042803,0.458759601314444
source_file,daily_trending_videos.csv,10503,0.2664000761687137,0.30162810625535563,0.6600971151099686,0.37815656565656564,0.4281629735525375,0.4016091183372444,0.2556781310837119,0.5718370264474625,0.4371339157025116
source_file,youtube_trending_in_kaggle_datasnaek_2017_2018.csv,3203,0.41024039962535125,0.5210739931314393,0.7773961910708711,0.6800479328939485,0.8637747336377474,0.7609788803218237,0.2826892535733192,0.13622526636225266,0.529672675301995
