n_train,split,accuracy,f1,roc_auc,log_loss
1000,train,0.757,0.6367713004484304,0.8316333333333333,0.5354809138152962
1000,validation,0.6504,0.4660965180207697,0.674162,0.6141004628519781
3000,train,0.7026666666666667,0.5631733594515181,0.7786703703703705,0.5591020802879679
3000,validation,0.642,0.4796511627906977,0.6837658095238096,0.6148770529903355
7000,train,0.7171428571428572,0.5686274509803921,0.7738250242954325,0.557705757405557
7000,validation,0.6718,0.49616211237334973,0.7052011428571429,0.6001802532666826
15000,train,0.707,0.553580497714576,0.7631528888888889,0.5610617519327563
15000,validation,0.675,0.5041196216051267,0.7179242857142857,0.5907177748154252
30000,train,0.7074,0.5437629937629938,0.7509806164021164,0.567286132355126
30000,validation,0.6878,0.5077262693156733,0.723293238095238,0.5860913605051213
